text,label_id,label_text,label
Five Stars. My husband used it for what he wanted for the jeep.,4.0,very positive,4
Easy to use. I bought the gift card for my 12 year old grandson. He has been saving up to buy something. He was delighted with his gift.,4.0,very positive,4
Nice display. A nice change from just sending a card.. I sent this to my brother for his birthday. It got there in two days and in a Sunday just in time for his birthday party.  I didn't actually see it but I know the brother was very happy with the way the card was displayed in the cupcake!,4.0,very positive,4
A great gift for any amazon lover. The mini amazon box is so cute. A great gift for any amazon lover!,4.0,very positive,4
*. *,4.0,very positive,4
*. *,4.0,very positive,4
"good gift for everyone. excellent idea for a gift for any reason, especcialy if you dont have an idea what to buy. Easy, convenient, secure.",4.0,very positive,4
$110 for $100. Speaks for itself honestly. Good deal.,4.0,very positive,4
there was no scratch code on the back. no claim code on the back.,0.0,very negative,0
Great gift.. Keep them coming Amazon.  Great gift.!,4.0,very positive,4
Great gift.. Keep them coming Amazon.  Great gift.!,4.0,very positive,4
Perfect fit.. Perfect fit.,4.0,very positive,4
Convenient. Very convenient.,4.0,very positive,4
Five Stars. Perfect for a coffee lover,4.0,very positive,4
"A Quick, Easy, Appreciated Gift. Very nice package, quick delivery and welcomed by the giftee",4.0,very positive,4
nice. easy,4.0,very positive,4
Five Stars. Always a good gift for anyone with an iPhone.,4.0,very positive,4
"HATS OFF TO THE AWESOME GRADUATE !!!. A wonderful and cute graduation gift holder for that special graduate on your list. And of course included is a generous gift card for the most amazing store on the planet, AMAZON. You can't go wrong with this graduation gift. It is a total sum a cum laude!!!",4.0,very positive,4
Five Stars. Perfectly packaged gift for any occasion..,4.0,very positive,4
Five Stars. I sent it as a gift and she loved it.,4.0,very positive,4
"Sturdy tin, great for “travel.”. Our granddaughter was at camp on her birthday; she loved the little tin for the gift card we sent her!",4.0,very positive,4
Five Stars. as expected,4.0,very positive,4
Exactly just that. Not sure what to review here. You want to reload your account and this one does the trick.,4.0,very positive,4
"No brainer. Not much to say about it.  Just had some expiring Amex gift cards, so I loaded them to Amazon.  It is good for combining gift cards so you can easily use the combined values.",4.0,very positive,4
The envelope was verynice and colorful. The people receiving the cards thought the envelope was very colorful.,4.0,very positive,4
Perfect gift. You can never go wrong with a gift card,4.0,very positive,4
gift card for Christmas. easy,4.0,very positive,4
Works great. Works great,4.0,very positive,4
You can use it anywhere. You can use it anywhere,4.0,very positive,4
quickk shipping. My sisters christmas gift,4.0,very positive,4
"So easy to use. The Amazon.com Gift Card Balance Reload card is so easy to use, and makes shoping fast.  I use the Gift Card Balance Card to place funds into and to be available when I need to make a purchase, and I do not have to worry if I have funds available due to placing the funds on the card previously. I makes shopping so very easy.",4.0,very positive,4
"The Perfect Gift. You can never have enough Amazon.com gift cards.  They are nice to have just incase you have forgotten someone's birthday, or other event.  Great to have as backup if that surprise guest comes for the holidays.  Also, great to use if playing games for prizes.  I can always use an Amazon Gift card, since they almost sell everything.  Amazon.com gift cards are not as limiting as other store gift cards that only sell what they have to offer.",4.0,very positive,4
Five Stars. Great gift. Can not go wrong.,4.0,very positive,4
Five Stars. My family always love Amazon gift cards.  The perfect gift.,4.0,very positive,4
Really dresses up an ordinary gift card!. Cute and fun! Will get more definitely I'm future!,4.0,very positive,4
Five Stars. Works.,4.0,very positive,4
lovely presentation. Loved this,4.0,very positive,4
Great gift. Son loved itp,4.0,very positive,4
Cute tin. Just cute,4.0,very positive,4
Five Stars. Great wedding gift.,4.0,very positive,4
Five Stars. love amazon,4.0,very positive,4
GREAT Gift for Kindle loving husband. Gift Card arrived as promised and was packaged very nicely .  Made a great gift for my Kindle loving husband to use.  Will definitely purchase this again.,4.0,very positive,4
... and gold pattern and it was really simple but beautiful. I got the navy and gold pattern and it was really simple but beautiful,4.0,very positive,4
Beware if gift cards are your holiday go-to.. Incredibly disappointed. The recipient of the card was unable to use it because it didn't work.,0.0,very negative,0
Xmas gift!. Great look and use of this card!,4.0,very positive,4
Excellent. Excellent,4.0,very positive,4
Excellent. Excellent,4.0,very positive,4
"This container is very dangerous, my granddaughter cut her .... This container is very dangerous, my granddaughter cut her finger, very sharp were the cut out part is.please take this off your containers for gift cards",0.0,very negative,0
"Quick and Easy!!!. Received my reload instantly, digital transaction .  Money available immediately!",4.0,very positive,4
Scam!. I purchased 2 $75 gift cards and found out today one of the recipients went to use it and it was declined by Amazon and they accused my family member of fraud. Then when he provided proof with the receipt I provided him (which amazon requested) his phone calls stopped being answered. I would like a refund of the unused card! This was a  Christmas gift that I purchased with my money!  I would give 0 stars should that have been an option. I will never buy a gift card from Amazon ever again!,0.0,very negative,0
Guft. Gift for family member,4.0,very positive,4
Good.. Good.,4.0,very positive,4
"It worked with gift card. Ok so, I had a Mastercard gift card type sent by email that could only be used online or with wallet if Apple Pay was accepted (it did not work where Apple Pay WAS accepted once even). It also could only work if purchase did not exceed worth. I had $2 something left on said card and did not know how the bleep I could use it, then I read Amazon will add it to your Amazon balance, where refunds and bonus type moneys are sent. It was relatively easy to do, once I read over the directions for safety sake and figured it out, and there instantly the money transferred to the balance. I think it is used as a default, so I am not positive if it is put back in the balance if it is used and then purchase is returned, but it is my money, so I don’t think that’s an issue. I once got a $5 reward or something from Amazon and when I had to return the purchase, I was not given back that reward they gave me, so I am reticent when it comes to returns and Amazon balances.",4.0,very positive,4
Very easy to use. Very easy to use,4.0,very positive,4
Cool gift card holder. Item is as shown. The cutout on one side makes it useless for holding small items (coins). Cool look for a gift card holder.,4.0,very positive,4
Five Stars. Great gift for Christmas!  Didn't hear any problems yet.,4.0,very positive,4
Perfect. As always. How can you go wrong!,4.0,very positive,4
TY. free money is always a blessing,4.0,very positive,4
So cute. Every girlie girl loves this gift card presentation,4.0,very positive,4
Five Stars. Can't go wrong with a gift card.,4.0,very positive,4
Fast. Great quick present for party. Arrived over night. Quick fast easy to use.,4.0,very positive,4
Love it. Love it,3.0,positive,3
Works Great!!!. Works Great!!!,4.0,very positive,4
the infomation. good,2.0,neutral,2
Four Stars. I wish I had a number for this card .,3.0,positive,3
"Very pretty gift box .. I really liked the style of the box , makes it look really nice as a gift ,fit for a special occasion like weddings. The box could be a little more sturdy but still it’s nice. The gift card I was surprised was NOT PLASTIC but bendable cardboard . It’s still a very good looking gift box and especially since there’s NO EXTRA CHARGE for the box .",4.0,very positive,4
Could have been easier. It was not as easy as I would have expected it to be.,2.0,neutral,2
easy and efficient. thank you! easy and efficient.,4.0,very positive,4
Perfect gift. Love it! It works well when you don’t know what to get!,4.0,very positive,4
Brilliant!. Brilliant idea to split my payment between a credit card and debit card! I purchased the gift card reload with my credit card and applied it to the price before finishing the payment with my debit card. Thanks to the Amazon rep who thought of it.,4.0,very positive,4
Five Stars. Perfect gift for my 17 year old granddaughter!,4.0,very positive,4
False claims. Misleading and absolute fraud and waste and theft of ones hard earned money. Not accepted in all places not a true VISA debt. Business don’t  take this fake prepaid,0.0,very negative,0
Yay gift cards. Yay gift cards,4.0,very positive,4
Worth it. Bought as a gift,4.0,very positive,4
Five Stars. very good,4.0,very positive,4
Loading. Needs to be a little easier to load,2.0,neutral,2
Five Stars. We are very happy!,4.0,very positive,4
Need to be able to send gift cards abroad. I live in the US and I wanted to send gifts to my brother in the UK and it is impossible to do,0.0,very negative,0
Easy to purchase. Easy to purchase and reload. New balance shows up within minutes.,4.0,very positive,4
Buy them all the time great way to give a gift to someone your not .... Buy them all the time great way to give a gift to someone your not sure what they need or like.,4.0,very positive,4
not sure why being asked to review but. A++++++++++++ would reload again,4.0,very positive,4
Cane in fast. Quick shipment and as described,4.0,very positive,4
"Not sure what's up with the negative reviews. I received this card on time and was able to use it without any problems. You have to register online, however. I choose to input my name and address just in case and was able to use it to pay a bill over the phone within a minute of doing so.",4.0,very positive,4
Easy. Easy process. I found old prepaid cards and put the money on my account,4.0,very positive,4
Five Stars. Excellent,4.0,very positive,4
Will do. It will help to protect the glass of my cell phone.  It did not fit completely (from edge to edge of screen).  It was a little small for my phone but it was better than nothing.  Great price.,2.0,neutral,2
"Great for cashing in Vanilla gifties. The ""Vanilla"" brand gift cards seem to be the most used around here, and I hate that you can't use them in a purchase that doesn't have an exact match with what's on the card. For example, if you have $32.45 left on it, and you buy something totalling $32.46, it will be declined, not allowing you to use two forms of payment. Using them for reloads on Amazon, you can use every last penny, not allowing Vanilla to keep the change.",4.0,very positive,4
Gift Card. Great way to give an Amazon Gift Card!,4.0,very positive,4
Gift Card. Love Gift Cards,4.0,very positive,4
Amazon Gift Cards. Who doesn't like Gift Cards from Amazon?,4.0,very positive,4
"hacked. someone bought this reload via my hacked credit card so I'd give it a ""no stars"" rating if it was available",0.0,very negative,0
Five Stars. I lost a 5.00 gift card in between transactions,4.0,very positive,4
Easy to do. Thanks Amazon for making this process easy.,4.0,very positive,4
Great gift idea!. This one was gifted to my Aunt and Uncle for Christmas and they loved it and ornament!,4.0,very positive,4
Love these for gifts. Gave it to my dad for Christmas.  It made a great gift and I wasn't charged a cent over the cards value! Amazon needs to advertise these more!,4.0,very positive,4
Mom loved it!. Great Christmas gift and wasn't charged a cent over face value of the gift card!!  Way to go Amazon!,4.0,very positive,4
Five Stars. Exactly what I expected.,4.0,very positive,4
Great Gift Card Holder. Very prototype card holder. But the glitter does get all over the place.,4.0,very positive,4
Great to have on hand!!. Great for ANY type gift!,4.0,very positive,4
Awesome! !. Amazon gift cards are great!!,4.0,very positive,4
Great gifts. I like to buy these to have on hand for gifts,4.0,very positive,4
Gift Card. Very cool delivering method of a gift card. Super cute envelope box. Worth it!,4.0,very positive,4
Five Stars. I bought this phone as a gift for a friend. I works well.,4.0,very positive,4
"Reliable. Easy to use, quick delivery, highly recommended",4.0,very positive,4
"Great. Great gift card, fast shipping, highly recommend",4.0,very positive,4
Five Stars. Sent to me as promised,4.0,very positive,4
Great gift!. Great gift for a young man that has been doing a lot on his attitude!,4.0,very positive,4
Nice gift box. Well designed,4.0,very positive,4
"Quick Delivery. This gift card was a gift and I appreciated that it arrived quickly,  very speedy delivery.",4.0,very positive,4
Amazon Black Gift Card  -  The perfect gift!. When you don’t know what to gift - The AMAZON Black Gift Card is a elegant presentation!,4.0,very positive,4
Awesome. good gift thank you very much!,4.0,very positive,4
Gift card.  No problem. It’s a gift card you can’t mess it up,4.0,very positive,4
Love this function!. Very useful and convenient,4.0,very positive,4
Beware!! No value on card.. Warning!!! When tried to use it there are no funds loaded on it was a blank card that can’t be used.,0.0,very negative,0
Five Stars. Beautiful box to show the appreciation.,4.0,very positive,4
"Great for gifting. These are great for my employees, I used them as stocking stuffer.",4.0,very positive,4
"Great for gifting. These are great for my employees, I used them as stocking stuffer.",4.0,very positive,4
Gift card. It was a gift and very much appreciated,4.0,very positive,4
Easy. Easy,4.0,very positive,4
"this material just does not last , outdoors as long as cotton... Need bigger quantities",4.0,very positive,4
works great. great,4.0,very positive,4
Received it torn so couldn’t give it as a gift. Received the polka dot gift card holder torn even if the plastic around it was sealed,0.0,very negative,0
"Five Stars. good deal to get this giftcard at a discount price, everyone hates reymond and everyone loves saving money",4.0,very positive,4
Five Stars. it was a gift and it was very appreciated,4.0,very positive,4
"Could be better. Mostly simple to do, though the system could be better. I had to attempt it multiple times before it accepted my card.",2.0,neutral,2
Gift card. Good and easy,4.0,very positive,4
Five Stars. Always a great gift idea. EVERYONE shops on Amazon.,4.0,very positive,4
Five Stars. Love these gifts for favorite teachers. Who can't use something from Amazon?,4.0,very positive,4
Five Stars. Such a cutie.,4.0,very positive,4
Amazon.com gift card balance reload. It's so easy to reload!  I wouldn't do it any other way.,4.0,very positive,4
new babyI. It was very nice in the box.,4.0,very positive,4
Four Stars. Good item!,3.0,positive,3
gift card. Cute gift card for a young girl.,4.0,very positive,4
Five Stars. GREAT,4.0,very positive,4
Five Stars. GREAT,4.0,very positive,4
Five Stars. GREAT,4.0,very positive,4
Five Stars. GREAT,4.0,very positive,4
Great Gift. Didn't realize what a personable gift this giftcard ended up being for<br />a senior.  He was so happy to be able to treat himself to something he<br />liked and needed.,4.0,very positive,4
Five Stars. I love apple,4.0,very positive,4
Late delivery. Item as described but recieved 3 days later than promised as I’m a prime member & it said guaranteed delivery in 1 day,3.0,positive,3
Quality and price. This was just so easy to buy and have in the package with the other items I bought for my sister's birthday.,4.0,very positive,4
Great for gifts!. Came in a nice box. Only problem I had was some of the gift cards did not have amount on the front depending on how much they are for.,4.0,very positive,4
Gave it to my son and daughter 'n law for .... Gave it to my son and daughter 'n law for a movie date night.  They were thrilled.  They don't go to the movies ever.,4.0,very positive,4
Five Stars. What can I say....,4.0,very positive,4
Five Stars. What can I say.....,4.0,very positive,4
Five Stars. I always love Amazon gift cards.  They make great gifts.,4.0,very positive,4
Five Stars. Came as pictured.,4.0,very positive,4
Five Stars. Came as pictured.,4.0,very positive,4
"Overall super cute cardholder for baby gift. This is a really cute gift card holder.  When you open the lid the card is displayed.  There was a little extra room in the slot so I was able to place gift receipt inside.  There was not a space to write the amount give, but I just wrote it on the card.  On the back of the envelope is a few lines to write a note to the receiver.  Overall super cute cardholder for baby gift.",4.0,very positive,4
"Amazon Gift Card. How does one rate a gift card? LOL<br />I must say, it was free shipping with next delivery and that happened so, here is a five star rating from me.",4.0,very positive,4
A gift for a 12 year old boy. He loved it!!,4.0,very positive,4
Easy gifts. Cute. Bought a bunch of these for Christmas presents. Grandkids seem to enjoy them.,4.0,very positive,4
Perfect gift. Perfect gify,4.0,very positive,4
Five Stars. Gift cards are the best,4.0,very positive,4
Five Stars. ok,4.0,very positive,4
"The Ultimate Gift. These are an AWESOME deal!  With NO fees for the packaging & shipping. AND FREE 1 - Day delivery, and dozens of occasions & styles, Amazon Gift Cards are a great way to give anyone a gift that they can buy just about anything with. You can even make the value any amount you want. Perfect.",4.0,very positive,4
"The perfect gift!. When giving, Amazon Gift Card is the perfect gift.  Everyone loves this gift!  As usual, Amazon is our answer to gifts for everyone!",4.0,very positive,4
Five Stars. Lovely Box!  Reusable.,4.0,very positive,4
Five Stars. was well received,4.0,very positive,4
"Gift box rocks. Good gift card in a cute package tin.  With Amazon prime, l don't have to buy a $5 card to put it in as a gift, and this looks better.",4.0,very positive,4
Cute container. Very cute container for a Christmas gift card. Much nicer than those traditional gift card holders.,4.0,very positive,4
Better than sending actual flowers. Better than sending actual flowers,4.0,very positive,4
Gift card. It’s a gift card 🤷‍♀️,4.0,very positive,4
Five Stars. Can't go wrong with a gift card!,4.0,very positive,4
What to you give a teenager???. What do you give to a teenage grandchild?  I don’t know about you but I find an Amazon gift card to be a perfect gift.,4.0,very positive,4
Shipped as said. It’s a gift card,4.0,very positive,4
Five Stars. Cute packaging for the card.,4.0,very positive,4
Really cute for Grad gifts. This was a very cute way to give a gift card and looked like part of the grad party decor. The Grad enjoyed the presentation then of course the present inside!,4.0,very positive,4
Five Stars. great,4.0,very positive,4
One Star. Yes.. who would pay 15 for a $10 card.,0.0,very negative,0
Awesome. Great value,4.0,very positive,4
Quick and easy to do!. Quick and easy to do!,4.0,very positive,4
Good gift. Easy gift,4.0,very positive,4
Five Stars. item came quickly and was a perfect stocking stuffer,4.0,very positive,4
Perfect stocking stuffer. can't hardly go wrong with a Hollister gift card for my kid.  Perfect stocking stuffer.,4.0,very positive,4
"You cannot get customer help!!. I wanted to cancel a purchase that I made with this card.  The vendor cannot reload the purchase amount to the card.  To look into a possible remedy, I visited the website on the card and called the phone number on the card.  I was unable to reach an actual person.  The activation fee is much too high to not offer customer support.  Buyer Beware!!",0.0,very negative,0
"STAY AWAY FROM THIS SELLER. I had ordered some gift cards from this merchant in the past and had no issue. This time around the cards were stolen upon delivery and the rest can’t be activated. I’ve contacted the merchant, the card issuer and Amazon. No one is able to help refund me my money and as a result I’m out $700.",0.0,very negative,0
says. Idea for returns. They have it down. Never thought it was easy to return an item. Went to ups store showed them the qr icon they scanned it and took the item. They packaged it and 5 hours later had gift card was able to get the correct item that same day. Only place to shop now adays.,4.0,very positive,4
Five Stars. good,4.0,very positive,4
Five Stars. Thank you.,4.0,very positive,4
"Reciepient Error. I had given this a One Star because the recipient had told me it was not delivered.  On further review,  the recipient found that it had indeed been received",4.0,very positive,4
Thanks for service. Thank you,3.0,positive,3
Lol why you want me to rate a gift card. ROFL this is stupid,4.0,very positive,4
Easy. perfect gift to give.,4.0,very positive,4
Card is cute. The gift card is cute. I wish it has more space to write some thank you notes.,4.0,very positive,4
Five Stars. good way to save,4.0,very positive,4
Nice way to present gift card. Nice  way to present gift card; no need for wrapping!,4.0,very positive,4
Five Stars. Fun way to present gift card; no need for wrapping.,4.0,very positive,4
Five Stars. Elegant way to present gift card; no need for wrapping!,4.0,very positive,4
Five Stars. Great service. I love the easy means of shopping.,4.0,very positive,4
Five Stars. cute packaging,4.0,very positive,4
"The perfect gift!. You just can't go wrong with an Amazon gift card! It arrived within the promised two days, which I appreciate. I know my daughter will be thrilled to find this under the tree on Christmas Eve!",4.0,very positive,4
Easy way to send a gift.. I send my grandchildren gift cards at holiday time.  They are always happy to receive them in a cute little gift box.  They love choosing their own special gift.  Makes it easy for me and happy for them.,4.0,very positive,4
Five Stars. The grandchildren are always happy to receive gift cards.  They enjoy choosing something for themselves.,4.0,very positive,4
GIft. Popular gift,3.0,positive,3
Five Stars. Easy quick customer friendly,4.0,very positive,4
Great gift Idea!. Recipients always enjoy getting this!,4.0,very positive,4
Perfect gift. Cute gift for Christmas. And everyone LOVES getting these!,4.0,very positive,4
More convenient. More convenient,4.0,very positive,4
Sweet deal. Received extra credit for outing money on. Loved it!,4.0,very positive,4
"Easy to apply and no hidden fees. Those who know me best, know how much I love this!  I am a constant reader and of course Amazon takes care of every little last minute purchase.",4.0,very positive,4
Super quick process. Easy and quick way to do a surprise for someone special.,4.0,very positive,4
Fun and attractive. Great festive way to present a holiday gift!,4.0,very positive,4
Double the Charm. Truly a beautiful gift box ! Who would not enjoy what it contains ??,4.0,very positive,4
Easy as pie. It was very easy to do and I will certainly do it again. Thank you,3.0,positive,3
"fine!. My son finally received the gift card, fine!",2.0,neutral,2
Too Cute !!!. Joyful looking gift box.,4.0,very positive,4
"I like that I can just have the money put in .... I like that I can just have the money put in my amazon account or even my kids accounts at the tip of my fingers, Thanks Amazon.",4.0,very positive,4
Perfect. Came as shown and my parents are excited to use it.,4.0,very positive,4
Good. Good,4.0,very positive,4
Five Stars. comfortable and cute,4.0,very positive,4
Five Stars. Great quality and exactly what I wanted,4.0,very positive,4
Gift cards always please everyone!. Gave this gift card to my loved one for his birthday and he picked out exactly what he wanted. Gift cards always make people happy I have found. I give them all the time!,4.0,very positive,4
"it's like free money. What? I'm reviewing this because if you reload it you get $5 for free. So, it's like free money.",4.0,very positive,4
Convenient Gift. So convenient! Arrived on time for a great surprise to recipient who needed it to buy the computer he was saving on Amazon!,4.0,very positive,4
giftcard. Came in on time!! Thank you!!,4.0,very positive,4
not a fan. This was an excellent and quite fast way to get a gift card.  If that's what you need.  Without running all over town.,4.0,very positive,4
Five Stars. Immediately shopping.,4.0,very positive,4
"Santa Gift Card Box A HUGE HIT. My grandson really liked the gift card box.  Everyone thought it was so cute.  The box makes the gift a bigger hit,",4.0,very positive,4
Gift idea. Everyone loves Amazon Gifts Cards,4.0,very positive,4
Five Stars. always the4 best gift to give and the best to receive,4.0,very positive,4
No hassle!. Easy and on time!,4.0,very positive,4
gift cards. i love gift cards,4.0,very positive,4
Love the adorable cupcake. Who doesn’t love an amazon gift card?  Absolutely adorable presentation.  Loved gifting it ❤️,4.0,very positive,4
Gifted. I bought as a gift,4.0,very positive,4
Perfect gift. Nice gift idea,4.0,very positive,4
Amazon gift card. Who can't use an Amazon gift card!!??,4.0,very positive,4
"Why amazon emailed me to review this ,i do not know. i dont understand how reloading your balance can be rated &#34;good&#34; or &#34;bad&#34; so... 3 stars",2.0,neutral,2
Leon. Great stuff,4.0,very positive,4
Two Stars. Was promised a bonus for re-loading the card.  Did NOT receive.,1.0,negative,1
Five Stars. This is a cheerful presentation for a gift card.  Everyone loves getting them.,4.0,very positive,4
"Cute. Perfect, well received!",4.0,very positive,4
Fantastic food!!!. These gift cards are the most delicious of all! Try a bite!,4.0,very positive,4
PERFECT !!!. Just perfect .,4.0,very positive,4
"Like money in the bank but it's set aside for special stuff.. During this pandemic, when going out is risky business, I always know I have funds set aside to buy books. For me, buying books is a fulsome adventure, one I save for the 'rainy days'.",4.0,very positive,4
Great gift!. Perfect!,4.0,very positive,4
GREAT. GREAT,4.0,very positive,4
Amazon gift cards. Love Amazon gift cards!,4.0,very positive,4
Five Stars. The older grand kids love getting these for birthdays.,4.0,very positive,4
Four Stars. Was gift.,3.0,positive,3
Five Stars. It was a birthday gift for my niece she loved it.,4.0,very positive,4
Five Stars. great purchase for my nieces,4.0,very positive,4
Five Stars. great way to purchase gift cards,4.0,very positive,4
Five Stars. don't live near a Taco Bell so this made purchasing it so easy,4.0,very positive,4
Five Stars. As described - good price - fast delivery - great seller!,4.0,very positive,4
That it looks nice. Easy gift,4.0,very positive,4
"Convenience. Love the fact that I can order online and not have to go there, where it takes forever to ring up gift cards.  I always feel horrible holding the line up.",4.0,very positive,4
Five Stars. person loved as gift,4.0,very positive,4
It is just a giftcard. It arrived very fast. I can only assume the correct amount was loaded.,4.0,very positive,4
Five Stars. Worked well,4.0,very positive,4
Gift card. I gave my nephews this,4.0,very positive,4
Amazon gift cards. Gift cards are always a good idea. Since my grand children are getting kindles for Christmas they can use for books.,4.0,very positive,4
